Ref,Val,Package,PosX,PosY,Rot,Side
"C58","10uF","C_1210",73.530000,-117.440000,90.000000,top
"C59","100nF","C_0402_NoSilk",75.630000,-118.240000,90.000000,top
"C60","0.1uF","C_0805",59.500000,-45.900000,90.000000,top
"C61","0.1uF","C_0805",59.600000,-51.400000,90.000000,top
"C62","100nF","C_0402_NoSilk",57.500000,-134.955000,270.000000,top
"C63","4.7uF","C_0805",88.650000,-131.100000,270.000000,top
"C64","6.8nF","C_0603",67.700000,-97.540000,0.000000,top
"C65","22uF","C_1206",71.000000,-37.100000,0.000000,top
"C66","22uF","C_1206",71.000000,-42.600000,0.000000,top
"C67","4.7uF","CP_Elec_4x5.8",65.150000,-132.730000,0.000000,top
"C68","1uF","C_1206",87.420000,-118.460000,270.000000,top
"C69","6.8nF","C_0603",67.690000,-90.450000,0.000000,top
"C70","0.1uF","C_0805",70.100000,-66.110000,270.000000,top
"C71","0.1uF","C_0805",70.100000,-61.300000,270.000000,top
"C72","10uF","C_1210",78.500000,-110.200000,270.000000,top
"C73","100uF","CP_Elec_6.3x7.7",78.950000,-100.750000,0.000000,top
"C74","0.1uF","C_0805",59.600000,-35.000000,90.000000,top
"C75","0.1uF","C_0805",59.600000,-40.400000,90.000000,top
"C76","10uF","C_1206",90.130000,-78.480000,45.000000,top
"C77","100nF","C_0603",88.870000,-77.250000,45.000000,top
"C78","100nF","C_0603",88.780000,-75.430000,45.000000,top
